taxon_name,plant_growth_form,woodiness_detailed,life_history,references
Caladenia applanata subsp. applanata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia applanata subsp. erubescens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia applanata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia arenaria,herb,herbaceous,perennial,scraped from online flora: species
Caladenia arenicola,herb,herbaceous,perennial,scraped from online flora: species
Caladenia argocalla,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia armata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia arrecta,herb,herbaceous,perennial,scraped from online flora: species
Caladenia atrata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia atrochila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia atroclavia,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia atrovespa,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia attenuata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia attingens subsp. attingens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia attingens subsp. effusa,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia attingens subsp. gracillima,herb,herbaceous,perennial,scraped from online flora: species
Caladenia attingens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia audasii,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia aurantiaca,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia aurulenta,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia australis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia barbarella,herb,herbaceous,perennial,scraped from online flora: species
Caladenia barbarossa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia behrii,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia bicalliata subsp. bicalliata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia bicalliata subsp. cleistogama,herb,herbaceous,perennial,scraped from online flora: species
Caladenia bicalliata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia bigeminata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia brachyscapa,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia branwhitei,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia brevisura,herb,herbaceous,perennial,scraped from online flora: species
Caladenia brownii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia brumalis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia bruniella,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia bryceana subsp. bryceana,herb,herbaceous,perennial,scraped from online flora: species
Caladenia bryceana subsp. cracens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia bryceana,herb,herbaceous,perennial,scraped from online flora: species
Caladenia busselliana,herb,herbaceous,perennial,scraped from online flora: species
Caladenia cadyi,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia caesarea subsp. caesarea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia caesarea subsp. maritima,herb,herbaceous,perennial,scraped from online flora: species
Caladenia caesarea subsp. transiens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia caesarea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia cairnsiana,herb,herbaceous,perennial,scraped from online flora: species
Caladenia calcicola,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia callitrophila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia campbellii,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia campestris,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia capillata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia cardiochila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia carnea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia catenata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia caudata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia chamaephylla,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia chapmanii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia christineae,herb,herbaceous,perennial,scraped from online flora: species
Caladenia citrina,herb,herbaceous,perennial,scraped from online flora: species
Caladenia clarkiae,herb,herbaceous,perennial,scraped from online flora: species
Caladenia clavescens,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia clavigera,herb,herbaceous,perennial,scraped from online flora: species
Caladenia clavula,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia cleistantha,herb,herbaceous,perennial,scraped from online flora: species
Caladenia coactilis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia colorata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia concinna,herb,herbaceous,perennial,scraped from online flora: species
Caladenia concolor,herb,herbaceous,perennial,scraped from online flora: species
Caladenia conferta,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia congesta,herb,herbaceous,perennial,scraped from online flora: species
Caladenia corynephora,herb,herbaceous,perennial,scraped from online flora: species
Caladenia cracens,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia crebra,herb,herbaceous,perennial,scraped from online flora: species
Caladenia cremna,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia cretacea,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia cristata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia cruciformis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia cruscula,herb,herbaceous,perennial,scraped from online flora: species
Caladenia cucullata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia curtisepala,herb,herbaceous,perennial,scraped from online flora: species
Caladenia decora,herb,herbaceous,perennial,scraped from online flora: species
Caladenia denticulata subsp. albicans,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia denticulata subsp. denticulata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia denticulata subsp. rubella,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia denticulata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia dienema,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia dilatata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia dimidia,herb,herbaceous,perennial,scraped from online flora: species
Caladenia dimorpha,herb,herbaceous,perennial,scraped from online flora: species
Caladenia discoidea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia diversiflora,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia dorrienii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia dorrigoensis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia douglasiorum,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia doutchiae,herb,herbaceous,perennial,scraped from online flora: species
Caladenia drakeoides,herb,herbaceous,perennial,scraped from online flora: species
Caladenia drummondii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia dundasiae,herb,herbaceous,perennial,scraped from online flora: species
Caladenia echidnachila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia elegans,herb,herbaceous,perennial,scraped from online flora: species
Caladenia ensata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia erythrochila,herb,herbaceous,perennial,scraped from online flora: species
Caladenia erythronema,herb,herbaceous,perennial,scraped from online flora: species
Caladenia evanescens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia excelsa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia exilis subsp. exilis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia exilis subsp. vanleeuwenii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia exilis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia exstans,herb,herbaceous,perennial,scraped from online flora: species
Caladenia falcata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia ferruginea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia filamentosa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia filifera,herb,herbaceous,perennial,scraped from online flora: species
Caladenia fitzgeraldii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia flaccida,herb,herbaceous,perennial,scraped from online flora: species
Caladenia flava subsp. flava,herb,herbaceous,perennial,scraped from online flora: species
Caladenia flava subsp. late red (G.Brockman GBB 2381),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia flava subsp. maculata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia flava subsp. sylvestris,herb,herbaceous,perennial,scraped from online flora: species
Caladenia flava,herb,herbaceous,perennial,scraped from online flora: species
Caladenia flavovirens,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia flindersica,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia fluvialis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia footeana,herb,herbaceous,perennial,scraped from online flora: species
Caladenia formosa,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia fragrantissima,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia fuliginosa,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia fulva,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia fuscata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia fuscolutescens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia gardneri,herb,herbaceous,perennial,scraped from online flora: species
Caladenia georgei,herb,herbaceous,perennial,scraped from online flora: species
Caladenia gladiolata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia gracilis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia gracillima,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia graminifolia,herb,herbaceous,perennial,scraped from online flora: species
Caladenia grampiana,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia graniticola,herb,herbaceous,perennial,scraped from online flora: species
Caladenia granitora,herb,herbaceous,perennial,scraped from online flora: species
Caladenia harringtoniae,herb,herbaceous,perennial,scraped from online flora: species
Caladenia hastata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia heberleana,herb,herbaceous,perennial,scraped from online flora: species
Caladenia helvina,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia hesperia,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia hiemalis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia hildae,herb,herbaceous,perennial,scraped from online flora: species
Caladenia hillmanii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia hirta subsp. hirta,herb,herbaceous,perennial,scraped from online flora: species
Caladenia hirta subsp. rosea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia hirta,herb,herbaceous,perennial,scraped from online flora: species
Caladenia hoffmanii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia hopperiana,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia horistes,herb,herbaceous,perennial,scraped from online flora: species
Caladenia huegelii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia incensum,herb,herbaceous,perennial,scraped from online flora: species
Caladenia incrassata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia infundibularis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia insularis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia integra,herb,herbaceous,perennial,scraped from online flora: species
Caladenia interanea,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia interjacens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia intuta,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia iridescens,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia isolata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia latifolia,herb,herbaceous,perennial,scraped from online flora: species
Caladenia leptochila subsp. dentata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia leptochila subsp. leptochila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia leptochila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia leptoclavia,herb,herbaceous,perennial,scraped from online flora: species
Caladenia leucochila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia lindleyana,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia littoricola,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia lobata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia lodgeana,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. albella,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. australora,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. borealis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. calcigena,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. clivicola,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. crassa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. eminens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. extrema,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia longicauda subsp. insularis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia longicauda subsp. longicauda,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. merrittii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. minima,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia longicauda subsp. redacta,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda subsp. rigidula,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longicauda,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longiclavata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia longifimbriata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia lorea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia lowanensis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia luteola,herb,herbaceous,perennial,scraped from online flora: species
Caladenia macroclavia,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia macrostylis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia magniclavata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia magnifica,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia marginata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia maritima,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia melanema,herb,herbaceous,perennial,scraped from online flora: species
Caladenia mentiens,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia meridionalis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia mesocera,herb,herbaceous,perennial,scraped from online flora: species
Caladenia microchila,herb,herbaceous,perennial,scraped from online flora: species
Caladenia montana,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia moschata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia multiclavia,herb,herbaceous,perennial,scraped from online flora: species
Caladenia nana subsp. nana,herb,herbaceous,perennial,scraped from online flora: species
Caladenia nana subsp. unita,herb,herbaceous,perennial,scraped from online flora: species
Caladenia nana,herb,herbaceous,perennial,scraped from online flora: species
Caladenia necrophylla,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia nivalis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia nobilis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia occidentalis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia oenochila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia oreophila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia orestes,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia orientalis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia ornata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia osmera,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia ovata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia pachychila,herb,herbaceous,perennial,scraped from online flora: species
Caladenia pallida,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia paludosa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia paradoxa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia parva,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia patersonii,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia pectinata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia peisleyi,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia pendens subsp. pendens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia pendens subsp. talbotii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia pendens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia perangusta,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia petrensis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia phaeoclavia,herb,herbaceous,perennial,scraped from online flora: species
Caladenia pholcoidea subsp. augustensis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia pholcoidea subsp. pholcoidea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia pholcoidea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia picta,herb,herbaceous,perennial,scraped from online flora: species
Caladenia pilotensis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia plicata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia pluvialis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia polychroma,herb,herbaceous,perennial,scraped from online flora: species
Caladenia postea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia praecox,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia procera,herb,herbaceous,perennial,scraped from online flora: species
Caladenia prolata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia pulchra,herb,herbaceous,perennial,scraped from online flora: species
Caladenia pumila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia pusilla,herb,herbaceous,perennial,scraped from online flora: species
Caladenia pygmaea,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia quadrifaria,herb,herbaceous,perennial,scraped from online flora: species
Caladenia radialis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia radiata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia remota subsp. parva,herb,herbaceous,perennial,scraped from online flora: species
Caladenia remota subsp. remota,herb,herbaceous,perennial,scraped from online flora: species
Caladenia remota,herb,herbaceous,perennial,scraped from online flora: species
Caladenia reptans subsp. impensa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia reptans subsp. reptans,herb,herbaceous,perennial,scraped from online flora: species
Caladenia reptans,herb,herbaceous,perennial,scraped from online flora: species
Caladenia reticulata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia rhomboidiformis,herb,herbaceous,perennial,scraped from online flora: species
Caladenia richardsiorum,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia rigida,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia rileyi,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia robinsonii,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia roei,herb,herbaceous,perennial,scraped from online flora: species
Caladenia rosella,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia saggicola,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sanguinea,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia saxatilis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia saxicola,herb,herbaceous,perennial,scraped from online flora: species
Caladenia septuosa,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia serotina,herb,herbaceous,perennial,scraped from online flora: species
Caladenia sigmoidea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia sp. Chapple Vale (J.A.Jeanes 344),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. Finniss (R.Bates 308),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. Inverleigh (N.Anderton 15),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. Kilcoy Creek (R.Crane 1286),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. Kilsyth South (G.S.Lorimer 1253),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. Mandurang (J.A.Jeanes 1728),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. Monarto South (H.Goldsack 163 AD97708605A),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. Muddarning Hill (S.D.Hopper 4013),herb,herbaceous,perennial,scraped from online flora: species
Caladenia sp. Southeast (R.Bates 66283),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. Stanthorpe (R.Crane 1448),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. Violet Town (C.Findlay & G.Backhouse s.n. 26/9/1999),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. Wandoo (G.Brockman GBB 671),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sp. White (R.Bates 41056),herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia speciosa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia splendens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia startiorum,herb,herbaceous,perennial,scraped from online flora: species
Caladenia stellata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia straminichila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia stricta,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia strigosa,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia subglabriphylla,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia subtilis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia swartsiorum,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia sylvicola,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia tensa,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia tentaculata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia tessellata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia testacea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia thinicola,herb,herbaceous,perennial,scraped from online flora: species
Caladenia thysanochila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia tonellii,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia toxochila,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia transitoria,herb,herbaceous,perennial,scraped from online flora: species
Caladenia uliginosa subsp. candicans,herb,herbaceous,perennial,scraped from online flora: species
Caladenia uliginosa subsp. patulens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia uliginosa subsp. uliginosa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia uliginosa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia ultima,herb,herbaceous,perennial,scraped from online flora: species
Caladenia ustulata,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia valida,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia validinervia,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia venusta,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia verrucosa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia versicolor,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia villosissima,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia viridescens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia viriosa,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia voigtii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia vulgaris,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia vulgata,herb,herbaceous,perennial,scraped from online flora: species
Caladenia wanosa,herb,herbaceous,perennial,scraped from online flora: species
Caladenia whiteheadii,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia williamsiae,herb,herbaceous,perennial,scraped from online flora: species
Caladenia winfieldii,herb,herbaceous,perennial,scraped from online flora: species
Caladenia woolcockiorum,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia x aestantha,herb,herbaceous,perennial,scraped from online flora: species
Caladenia x cala,herb,herbaceous,perennial,scraped from online flora: species
Caladenia x coactescens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia x eludens,herb,herbaceous,perennial,scraped from online flora: species
Caladenia x enigma,herb,herbaceous,perennial,scraped from online flora: species
Caladenia x ensigera,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Caladenia x ericksoniae,herb,herbaceous,perennial,scraped from online flora: species
Caladenia x erminea,herb,herbaceous,perennial,scraped from online flora: species
Caladenia x exoleta,herb,herbaceous,perennial,scraped from online flora: species
Caladenia x exserta,herb,herbaceous,perennial,scraped from online flora: species
