species_binom,Unique_ID,dataset_id,family,genus,woodiness,reclass_life_history,putative_BNF,myc_type,lat_deg,long_deg,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,LATLONG
Cenchrus_ciliaris,6440,Schmidt_2010,Poaceae,Cenchrus,herbaceous,long,0,AM,-23.87,146.12,18.856,1.645237122,386.064,11.46096192,20.47433178,234.6555368,-23.87146.12
Cenchrus_ciliaris,6438,Schmidt_2010,Poaceae,Cenchrus,herbaceous,long,0,AM,-23.87,146.12,11.181,1.896275531,364.149,5.896295036,32.5685538,192.0338021,-23.87146.12
Cenchrus_ciliaris,6408,Schmidt_2010,Poaceae,Cenchrus,herbaceous,long,0,AM,-23.51,146.52,10.978,1.032842357,370.771,10.62892118,33.77400255,358.9812109,-23.51146.52
Cenchrus_ciliaris,6407,Schmidt_2010,Poaceae,Cenchrus,herbaceous,long,0,AM,-23.51,146.52,8.12,1.114488749,333.956,7.285851927,41.12758621,299.6495032,-23.51146.52
Chrysopogon_fallax,6442,Schmidt_2010,Poaceae,Chrysopogon,herbaceous,long,0,NM-AM,-23.87,146.12,9.544,0.750695549,359.032,12.71354282,37.61860855,478.2657906,-23.87146.12
Chrysopogon_fallax,6444,Schmidt_2010,Poaceae,Chrysopogon,herbaceous,long,0,NM-AM,-23.87,146.12,8.455,0.932621359,385.985,9.065844264,45.65168539,413.8710702,-23.87146.12
Cymbopogon_refractus,6445,Schmidt_2010,Poaceae,Cymbopogon,herbaceous,long,0,AM,-23.87,146.12,12.243,1.059995953,396.481,11.5500441,32.38430123,374.0401073,-23.87146.12
Cymbopogon_refractus,6413,Schmidt_2010,Poaceae,Cymbopogon,herbaceous,long,0,AM,-23.51,146.52,10.081,1.062985248,381.463,9.483668771,37.83979764,358.8601072,-23.51146.52
Cymbopogon_refractus,6447,Schmidt_2010,Poaceae,Cymbopogon,herbaceous,long,0,AM,-23.87,146.12,8.762,0.681791222,383.777,12.8514415,43.80015978,562.895191,-23.87146.12
Cymbopogon_refractus,6412,Schmidt_2010,Poaceae,Cymbopogon,herbaceous,long,0,AM,-23.51,146.52,8.494,0.970537094,421.524,8.751855081,49.626089,434.3203392,-23.51146.52
Panicum_effusum,6454,Schmidt_2010,Poaceae,Panicum,herbaceous,long,0,AM,-23.87,146.12,12.577,1.531936128,391.122,8.209872311,31.09819512,255.312211,-23.87146.12
Panicum_effusum,6421,Schmidt_2010,Poaceae,Panicum,herbaceous,long,0,AM,-23.51,146.52,9.358,0.842614771,399.419,11.10590548,42.68209019,474.0232595,-23.51146.52
Panicum_effusum,6419,Schmidt_2010,Poaceae,Panicum,herbaceous,long,0,AM,-23.51,146.52,9.114,0.83379392,412.848,10.93075852,45.29822251,495.1439318,-23.51146.52
Aristida_calycina,6427,Schmidt_2010,Poaceae,Aristida,herbaceous,long,0,AM,-23.51,146.52,9.236,1.157325861,407.018,7.980466272,44.06864443,351.6883306,-23.51146.52
Aristida_calycina,6426,Schmidt_2010,Poaceae,Aristida,herbaceous,long,0,AM,-23.51,146.52,5.761,1.479571599,403.674,3.893694637,70.07012671,272.8316766,-23.51146.52
Heteropogon_contortus,6434,Schmidt_2010,Poaceae,Heteropogon,herbaceous,long,0,AM,-23.87,146.12,12.37,1.248706153,387.337,9.906253741,31.31261116,310.1906714,-23.87146.12
Heteropogon_contortus,6433,Schmidt_2010,Poaceae,Heteropogon,herbaceous,long,0,AM,-23.87,146.12,11.567,1.215922678,401.251,9.512940427,34.68928849,329.9971349,-23.87146.12
