"","Unique_ID","dataset_id","family","genus","species_binom","woodiness","reclass_life_history","putative_BNF","myc_type","AM","EcM","ErM","NM","lat_deg","long_deg","leaf_N_per_dry_mass","leaf_P_per_dry_mass","leaf_C_per_dry_mass","ln_leaf_N","ln_leaf_P","ln_leaf_C","NP_ratio","CN_ratio","CP_ratio","ln_NP_ratio","ln_CN_ratio","ln_CP_ratio","SE_N","SE_P","SE_C","CV_N_sp","CV_P_sp","CV_C_sp","sd_ln_NP_sp","sd_ln_CN_sp","sd_ln_CP_sp","CV_N_gen","CV_P_gen","CV_C_gen","sd_lnNP_gen","sd_lnCN_gen","sd_lnCP_gen","CV_N_fam","CV_P_fam","CV_C_fam","sd_lnNP_fam","sd_lnCN_fam","sd_lnCP_fam","SE_ln_NP_sp","SE_ln_CN_sp","SE_ln_CP_sp","SN_total_0_30","SP_total_0_30","SOC_total_0_30","CEC_total_0_30","AP_total_0_30","NPP","MAT","PPT","AET","precipitation_seasonality","temp_seasonality"
"21",466,"Bloomfield_2018","Atherospermataceae","Atherosperma","Atherosperma_moschatum","1","long","0","AM","1","0","0","0",-43.095,146.65,18.816,1.117,NA,2.93470757171622,0.110646520087064,NA,16.84512086,NA,NA,2.8240610516621,NA,NA,0.767827933108448,0.0618272547430803,NA,0.152690728337567,0.268869905162597,NA,0.287857135392695,NA,NA,0.152690728337567,0.268869905162597,NA,0.287857135392695,NA,NA,0.273415270469716,0.433588363724108,0.0702004033376563,0.434808971654427,0.709204802874781,0.480929824413812,0.0698156102536356,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"22",3460,"Bloomfield_2018","Myrtaceae","Eucalyptus","Eucalyptus_obliqua","1","long","0","EcM-AM","1","1","0","0",-43.095,146.65,12.582,0.549,NA,2.53226722114784,-0.599656837472606,NA,22.91803279,NA,NA,3.13192405875635,NA,NA,0.602406549533022,0.033041244067435,8.5501552285745,0.226590025890902,0.219499464856176,0.0303097010453228,0.159774094624997,0.271336228736823,NA,0.323298812871427,0.403845295396533,0.0551728805799458,0.316300611684253,0.299847915715155,0.354972855285245,0.319516883935715,0.610468583305284,0.0648707296328752,0.416405034283383,0.311675564109189,0.421369402289094,0.041253493842532,0.156656044702103,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"23",3461,"Bloomfield_2018","Myrtaceae","Eucalyptus","Eucalyptus_obliqua","1","long","0","EcM-AM","1","1","0","0",-43.095,146.65,15.109,0.615,NA,2.7152905927577,-0.486133011175619,NA,24.56747967,NA,NA,3.20142360373808,NA,NA,0.602406549533022,0.033041244067435,8.5501552285745,0.226590025890902,0.219499464856176,0.0303097010453228,0.159774094624997,0.271336228736823,NA,0.323298812871427,0.403845295396533,0.0551728805799458,0.316300611684253,0.299847915715155,0.354972855285245,0.319516883935715,0.610468583305284,0.0648707296328752,0.416405034283383,0.311675564109189,0.421369402289094,0.041253493842532,0.156656044702103,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"24",3462,"Bloomfield_2018","Myrtaceae","Eucalyptus","Eucalyptus_obliqua","1","long","0","EcM-AM","1","1","0","0",-43.095,146.65,18.024,0.816,NA,2.89170420312994,-0.20334092401803,NA,22.08823529,NA,NA,3.09504512696156,NA,NA,0.602406549533022,0.033041244067435,8.5501552285745,0.226590025890902,0.219499464856176,0.0303097010453228,0.159774094624997,0.271336228736823,NA,0.323298812871427,0.403845295396533,0.0551728805799458,0.316300611684253,0.299847915715155,0.354972855285245,0.319516883935715,0.610468583305284,0.0648707296328752,0.416405034283383,0.311675564109189,0.421369402289094,0.041253493842532,0.156656044702103,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"25",3463,"Bloomfield_2018","Myrtaceae","Eucalyptus","Eucalyptus_obliqua","1","long","0","EcM-AM","1","1","0","0",-43.095,146.65,13.262,0.515,NA,2.58490280294668,-0.663588378318401,NA,25.75145631,NA,NA,3.24849118123869,NA,NA,0.602406549533022,0.033041244067435,8.5501552285745,0.226590025890902,0.219499464856176,0.0303097010453228,0.159774094624997,0.271336228736823,NA,0.323298812871427,0.403845295396533,0.0551728805799458,0.316300611684253,0.299847915715155,0.354972855285245,0.319516883935715,0.610468583305284,0.0648707296328752,0.416405034283383,0.311675564109189,0.421369402289094,0.041253493842532,0.156656044702103,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"26",3464,"Bloomfield_2018","Myrtaceae","Eucalyptus","Eucalyptus_obliqua","1","long","0","EcM-AM","1","1","0","0",-43.095,146.65,12.813,0.614,NA,2.55046028052744,-0.487760350834995,NA,20.86807818,NA,NA,3.03822063155911,NA,NA,0.602406549533022,0.033041244067435,8.5501552285745,0.226590025890902,0.219499464856176,0.0303097010453228,0.159774094624997,0.271336228736823,NA,0.323298812871427,0.403845295396533,0.0551728805799458,0.316300611684253,0.299847915715155,0.354972855285245,0.319516883935715,0.610468583305284,0.0648707296328752,0.416405034283383,0.311675564109189,0.421369402289094,0.041253493842532,0.156656044702103,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"27",807,"Bloomfield_2018","Cunoniaceae","Eucryphia","Eucryphia_lucida","1","long","0","AM","1","0","0","0",-43.095,146.65,10.109,0.213,NA,2.31342611617192,-1.54646311327271,NA,47.4600939,NA,NA,3.85988922951388,NA,NA,0.380466675487437,0.0861125272358138,NA,0.115553574811179,0.561558564377703,NA,0.637034823652088,NA,NA,0.115553574811179,0.561558564377703,NA,0.637034823652088,NA,NA,0.145417725067979,0.650734381738404,NA,0.52495983618903,NA,NA,0.240776531410187,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"28",808,"Bloomfield_2018","Cunoniaceae","Eucryphia","Eucryphia_lucida","1","long","0","AM","1","0","0","0",-43.095,146.65,9.085,0.193,NA,2.20662470184813,-1.64506509007725,NA,47.07253886,NA,NA,3.85168979192318,NA,NA,0.380466675487437,0.0861125272358138,NA,0.115553574811179,0.561558564377703,NA,0.637034823652088,NA,NA,0.115553574811179,0.561558564377703,NA,0.637034823652088,NA,NA,0.145417725067979,0.650734381738404,NA,0.52495983618903,NA,NA,0.240776531410187,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"29",809,"Bloomfield_2018","Cunoniaceae","Eucryphia","Eucryphia_lucida","1","long","0","AM","1","0","0","0",-43.095,146.65,9.837,0.513,NA,2.28615078653062,-0.667479433811368,NA,19.1754386,NA,NA,2.95363022052497,NA,NA,0.380466675487437,0.0861125272358138,NA,0.115553574811179,0.561558564377703,NA,0.637034823652088,NA,NA,0.115553574811179,0.561558564377703,NA,0.637034823652088,NA,NA,0.145417725067979,0.650734381738404,NA,0.52495983618903,NA,NA,0.240776531410187,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
"30",810,"Bloomfield_2018","Cunoniaceae","Eucryphia","Eucryphia_lucida","1","long","0","AM","1","0","0","0",-43.095,146.65,8.371,0.183,NA,2.12477335167792,-1.69826912614072,NA,45.7431694,NA,NA,3.82304247784253,NA,NA,0.380466675487437,0.0861125272358138,NA,0.115553574811179,0.561558564377703,NA,0.637034823652088,NA,NA,0.115553574811179,0.561558564377703,NA,0.637034823652088,NA,NA,0.145417725067979,0.650734381738404,NA,0.52495983618903,NA,NA,0.240776531410187,NA,NA,0.302,0.028,4.963,21.301,11.287,14041.947,10.623,1412.614,779.542847,24.32042885,307.2532349
