Unique_ID,dataset_id,family,genus,woodiness,reclass_life_history,putative_BNF,myc_type,species_binom,lat_deg,long_deg,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,LATLONG
7831,Schmidt_2003,Vitaceae,Ampelocissus,herbaceous,long,0,AM,Ampelocissus acetosa,-12.65,132.9166667,12.3,NA,NA,NA,NA,NA,-12.65132.9166667
7833,Schmidt_2003,Vitaceae,Ampelocissus,herbaceous,long,0,AM,Ampelocissus acetosa,-12.65,132.9166667,26.3,NA,NA,NA,NA,NA,-12.65132.9166667
7834,Schmidt_2003,Vitaceae,Ampelocissus,herbaceous,long,0,AM,Ampelocissus acetosa,-12.65,132.9166667,15,NA,NA,NA,NA,NA,-12.65132.9166667
2520,Dong_2017,Lauraceae,Cassytha,herbaceous,long,0,NM,Cassytha pubescens,-35.272,138.69,7.19227799,NA,456.1496139,NA,63.42213337,NA,-35.272138.69
2519,Dong_2017,Lauraceae,Cassytha,herbaceous,long,0,NM,Cassytha pubescens,-34.933,138.727,5.54927066,NA,426.0251216,NA,76.7713719,NA,-34.933138.727
1043,Schmidt_2003,Dioscoreaceae,Dioscorea,herbaceous,long,0,AM,Dioscorea bulbifera,-12.65,132.9166667,32.2,NA,NA,NA,NA,NA,-12.65132.9166667
1039,Guilherme_Pereira_2019,Dioscoreaceae,Dioscorea,herbaceous,long,0,AM,Dioscorea hastifolia,-30.407139,115.081852,14.172,NA,NA,NA,NA,NA,-30.407139115.081852
1040,Guilherme_Pereira_2019,Dioscoreaceae,Dioscorea,herbaceous,long,0,AM,Dioscorea hastifolia,-30.407139,115.081852,16.182,NA,NA,NA,NA,NA,-30.407139115.081852
1041,Guilherme_Pereira_2019,Dioscoreaceae,Dioscorea,herbaceous,long,0,AM,Dioscorea hastifolia,-30.407139,115.081852,20.515,NA,NA,NA,NA,NA,-30.407139115.081852
1042,Guilherme_Pereira_2019,Dioscoreaceae,Dioscorea,herbaceous,long,0,AM,Dioscorea hastifolia,-30.407139,115.081852,20.102,NA,NA,NA,NA,NA,-30.407139115.081852
2345,Schmidt_2003,Flagellariaceae,Flagellaria,herbaceous,long,0,AM,Flagellaria indica,-12.65,132.9166667,30,NA,NA,NA,NA,NA,-12.65132.9166667
2348,Schmidt_2003,Flagellariaceae,Flagellaria,herbaceous,long,0,AM,Flagellaria indica,-12.65,132.9166667,27,NA,NA,NA,NA,NA,-12.65132.9166667
