lat,lon,precipitation,temp_seasonality
-27.9183,123.6158,39.08033752,617.7390137
-30.0194,119.6789,32.13186264,618.7944946
-29.9511,119.3983,30.21336555,612.0395508
-30.2056,119.8633,32.06801987,600.251709
-30.4306,119.6339,40.56843185,598.4044189
-29.9958,119.6267,29.72156525,611.59375
-14.4731,132.3031,113.0866928,293.6125488
-32.7297,119.0047,38.92899704,471.5036621
-30.0528,119.835,30.58409691,609.2822266
-29.7483,119.4758,28.12566376,625.1986084
-29.2428,121.2561,35.15577316,607.9230957
-29.7614,121.0628,30.81451797,602.5745239
-31.5111,120.8164,24.31119728,531.5391846
-32.6647,118.3258,50.61371994,499.1690063
-28.7642,121.9683,46.78102493,613.4490356
-28.3847,122.5853,35.08913422,608.9351807
-26.9958,125.5589,45.85965347,632.1889648
-31.2136,119.3456,37.69462204,569.937561
-15.9892,126.9775,114.9127426,354.2798157
-29.015,118.8908,33.01366043,638.2996826
-17.133,133.329,116.544281,410.0801086
-16.097,130.891,112.6787949,372.7894287
-17.3992,128.2831,112.791481,393.7311707
-33.642,150.696,33.56026459,434.8658752
-33.6617,150.7828,32.64838791,436.8785706
-30.7483,119.5583,47.58027649,584.2988281
-30.191,120.654,30.68782425,596.6726074
-26.9794,126.0525,46.68104172,617.7492676
-27.0378,125.2406,44.33845901,627.2998657
-29.4953,121.2522,34.30194473,605.0970459
-27.0003,126.2269,47.76548004,622.4164429
-19.9728,120.2206,103.1772614,406.2417908
-24.0197,117.2208,69.67076111,614.0123901
-31.014,115.33,88.63105011,374.1465149
-37.983,145.8,19.53261375,365.1089478
-15.5853,127.7633,119.2067871,318.6628723
-33.591,151.28,27.9922123,353.3637085
-33.5384,151.2827,28.38652611,375.0966797
-15.5806,127.7647,119.7749634,320.1500244
-28.7094,118.6206,36.04478836,639.4971924
-24.5336,114.9822,67.68158722,553.3041382
-24.4997,115.1406,69.00197601,562.3947754
-30.1921,115.063,84.48136902,419.9990845
-39.0167,146.3333,33.03169632,304.4020386
-16.9056,125.7611,114.281189,337.0482483
-24.631,133.452,39.60660172,639.8632813
-43.095,146.65,24.32042885,307.2532349
-33.68,150.755,33.37068176,437.9056396
-33.619,150.738,33.18226624,440.2091675
-32.9667,146.1547,14.49830914,601.2340698
-30.656,139.547,45.64354706,620.1800537
-35.4441,148.9285,15.53716087,511.460144
-30.1432,115.0621,84.65796661,429.8738098
-33.3718,151.3211,30.264925,385.3176575
-33.3716,151.3215,30.264925,385.3176575
-35.34,142.83,22.79833603,498.3351135
-24.9881,114.8081,63.74241638,559.7731934
-23.5,117.1606,74.11381531,608.0308228
-22.7192,117.7614,81.62078857,565.1300659
-23.1333,117.8,73.89038849,589.9169922
-20.3511,134.2372,104.2219543,528.4124756
